Year,Ukraine,UKR,SSA
1997,395029998.8,20825.9399,395.0299988
1998,683489990.2,20429.81997,683.4899902
1999,845320007.3,18663.85993,845.3200073
2000,822750000,19577.66011,822.75
2001,774380004.9,22068.15997,774.3800049
2002,692859985.4,28228.78997,692.8599854
2003,436730011,32075.38016,436.730011
2004,456910003.7,30933.86,456.9100037
2005,472489990.2,37122.87969,472.4899902
2006,546700012.2,45192.36993,546.7000122
2007,434670013.4,36798.36963,434.6700134
2008,593840026.9,39336.14,593.8400269
2009,645390014.6,44826.05023,645.3900146
2010,661719970.7,44776.08992,661.7199707
2011,711700012.2,45258.27016,711.7000122
2012,756450012.2,45828.09014,756.4500122
2013,754960022,46196.8904,754.960022
2014,1317969971,44753.86965,1317.969971
2015,1548890015,47536.92978,1548.890015
2016,1607609985,47458.11003,1607.609985
2017,1236900024,52177.96975,1236.900024
2018,1223170044,51345.35966,1223.170044
2019,1181150024,54515.65997,1181.150024